x,y,z,qx,qy,qz,qw,speed
89633.4,43129.5,0,0,0,0.889602,0.456736,8.33333
89630.3,43133.5,-2.27604e-05,0,0,0.893951,0.448164,8.33333
89628.1,43136.4,-2.27604e-05,0,0,0.89358,0.448903,8.33333
89626.1,43139.1,-4.94512e-05,0,0,0.893125,0.449809,8.33333
89624.4,43141.4,-5.62939e-05,0,0,0.889256,0.457409,8.33333
89622.9,43143.5,-5.85779e-05,0,0,0.888394,0.459081,8.33333
89621.1,43146.1,-2.71784e-05,0,0,0.87734,0.47987,8.33333
89619.3,43148.9,0,0,0,0.864076,0.503361,8.33333
89617.6,43151.4,0,0,0,0.874569,0.484902,8.33333
89616.2,43153.6,0,0,0,0.882949,0.469469,8.33333
89614.7,43155.9,0,0,0,0.802404,0.596782,8.33333
89613.8,43158.1,0,0,0,0.764321,0.644836,8.33333
89613,43160.5,3.27802e-06,0,0,0.482421,0.875939,8.33333
89613.8,43163.4,0,0,0,0.225825,0.974168,8.33333
89616.2,43164.6,0,0,0,-0.150525,0.988606,8.33333
89618.5,43164.6,-3.04732e-05,0,0,-0.280278,0.959919,8.33333
89620.8,43163.4,-3.05102e-05,0,0,-0.387332,0.92194,8.33333
89622.7,43161.5,0,0,0,-0.354737,0.934966,8.33333
89624.6,43159.4,0,0,0,-0.428664,0.903464,8.33333
89626.2,43157.4,0,0,0,-0.445135,0.895464,8.33333
89627.9,43155.1,0,0,0,-0.468911,0.883246,8.33333
89629.4,43152.8,0,0,0,-0.481572,0.876406,8.33333
89630.9,43150.5,0,0,0,-0.474667,0.880165,8.33333
89632.6,43147.9,0,0,0,-0.599579,0.800316,8.33333
89634,43145.7,0,0,0,-0.493707,0.869628,8.33333
89635.5,43143.5,0,0,0,-0.453856,0.891075,8.33333
89637.2,43141.1,0,0,0,-0.422683,0.906278,8.33333
89639,43139,0,0,0,-0.359967,0.932965,8.33333
89640.5,43138.3,0,0,0,-0.0399284,0.999203,8.33333
89641.7,43138.2,0,0,0,0.0470371,0.998893,8.33333
89643.3,43138.4,0,0,0,0.449228,0.893417,8.33333
89644.4,43139.7,0,0,0,0.558093,0.829779,8.33333
89644.9,43142,0,0,0,0.77485,0.632145,8.33333
89643.9,43144.3,-3.03018e-05,0,0,0.839541,0.543296,8.33333
89642.9,43146.5,-2.93533e-05,0,0,0.862835,0.505486,8.33333
89641.4,43149.3,-2.96688e-05,0,0,0.866861,0.49855,8.33333
89640,43151.6,-3.03234e-05,0,0,0.861794,0.507258,8.33333
89638.8,43153.8,-2.94697e-05,0,0,0.864011,0.503474,8.33333
89637.7,43155.8,0,0,0,0.868078,0.496428,8.33333
89636.2,43158.3,0,0,0,0.876353,0.48167,8.33333
89634.5,43160.9,0,0,0,0.868607,0.495501,8.33333
89633,43163.4,0,0,0,0.881079,0.47297,8.33333
89631.5,43165.8,0,0,0,0.875074,0.483989,8.33333
89629.9,43168.3,0,0,0,0.896159,0.443734,8.33333
89628.1,43170.7,0,0,0,0.910751,0.412956,8.33333
89626.2,43172.9,0,0,0,0.926643,0.375943,8.33333
89624.1,43175,0,0,0,0.928764,0.370672,8.33333
89621.9,43177.1,0,0,0,0.792258,0.610186,8.33333
89620.4,43179.5,-2.59371e-05,0,0,0.470367,0.882471,8.33333
89620.8,43182.4,-5.07997e-05,0,0,0.19396,0.981009,8.33333
89622,43184.5,-1.98768e-05,0,0,0.292457,0.956279,8.33333
89624.5,43186.1,-9.0028e-05,0,0,0.083257,0.996528,8.33333
89627.2,43186.9,-2.27604e-05,0,0,-0.0166064,0.999862,8.33333
89629.4,43187.1,-1.98768e-05,0,0,-0.160425,0.987048,8.33333
89632,43186.2,0,0,0,-0.282431,0.959288,8.33333
89634.6,43184.5,0,0,0,-0.285239,0.958457,8.33333
