x,y,z,qx,qy,qz,qw,speed
89631.4,43131.7,0,0,0,-0.925134,0.379642,9.44444
89629.3,43134.3,0,0,0,0.933984,0.357316,9.44444
89627.6,43136.9,0,0,0,0.95622,0.292648,9.44444
89625.9,43139,0,0,0,0.921063,0.389413,9.44444
89623.8,43141.2,0,0,0,0.947602,0.319453,9.44444
89621.8,43143.2,0,0,0,0.919954,0.392026,9.44444
89620.1,43145.5,0,0,0,0.907749,0.419513,9.44444
89618.2,43147.9,0,0,0,0.889368,0.457192,9.44444
89616.5,43150.4,0,0,0,0.876516,0.481373,9.44444
89614.9,43152.8,0,0,0,0.852035,0.523484,8.33333
89613.5,43155.5,0,0,0,0.798825,0.601564,8.33333
89612.7,43158.3,0,0,0,0.702854,0.711334,8.33333
89612.9,43161.1,-2.68074e-05,0,0,0.467689,0.883893,8.33333
89613.9,43163.9,-5.8064e-05,0,0,0.362729,0.931895,8.33333
89616.1,43166,-8.97455e-05,0,0,-0.106194,0.994345,8.33333
89619.4,43166.8,-6.05838e-05,0,0,-0.151494,0.988458,8.33333
89622.5,43165.8,-5.9257e-05,0,0,-0.50276,0.864426,8.33333
89624.2,43163.8,0,0,0,-0.510216,0.860046,9.44444
89625.7,43161.1,0,0,0,-0.50772,0.861522,9.44444
89627.2,43158.5,0,0,0,-0.535709,0.844403,9.44444
89628.5,43155.8,0,0,0,-0.557544,0.830147,9.44444
89629.6,43153,0,0,0,-0.569087,0.822278,9.44444
89630.6,43150.2,0,0,0,-0.477121,0.878837,9.44444
89631.9,43147.8,0,0,0,-0.497312,0.867572,9.44444
89633.2,43145.5,0,0,0,-0.518697,0.854958,9.44444
89634.5,43143.1,0,0,0,-0.49334,0.869836,8.33333
89636.1,43140.3,0,0,0,-0.352614,0.935769,8.33333
89638.1,43138.3,0,0,0,-0.272334,0.962203,8.33333
89640.3,43137,0,0,0,0.0306212,0.999531,8.33333
89642.9,43136.3,0,0,0,0.169362,0.985554,8.33333
89645.9,43136.8,0,0,0,0.45246,0.891785,8.33333
89648,43139,0,0,0,0.718857,0.695158,8.33333
89647.9,43141.9,0,0,0,0.784911,0.619609,8.33333
89647.4,43145,0,0,0,0.830273,0.557357,8.33333
89646.3,43147.7,0,0,0,0.855245,0.518224,9.44444
89644.9,43150.5,0,0,0,0.882001,0.471247,9.44444
89643.2,43153.1,0,0,0,0.909974,0.414665,9.44444
89641.4,43155.1,0,0,0,0.931912,0.362684,9.44444
89639.5,43156.9,0,0,0,0.899436,0.437053,9.44444
89637.6,43159.2,0,0,0,0.904818,0.425798,9.44444
89635.7,43161.5,0,0,0,0.909045,0.416698,9.44444
89633.8,43163.8,0,0,0,0.911257,0.411839,9.44444
89632.1,43166.5,0,0,0,0.890804,0.454388,9.44444
89630.4,43168.8,0,0,0,0.892839,0.450375,9.44444
89628.8,43171.1,0,0,0,0.917674,0.397334,9.44444
89626.6,43173.4,0,0,0,0.964602,0.263711,8.33333
89623.9,43175,0,0,0,0.914781,0.40395,8.33333
89621.9,43177.3,0,0,0,0.848589,0.529052,8.33333
89620.6,43179.8,0,0,0,0.728822,0.684703,8.33333
89620.5,43182.8,0,0,0,0.563098,0.82639,8.33333
89621.5,43185.5,0,0,0,0.328683,0.94444,8.33333
89623.9,43187.4,0,0,0,0.129383,0.991595,8.33333
89626.7,43188.2,0,0,0,-0.0738567,0.997269,8.33333
