x,y,z,qx,qy,qz,qw,speed
89631,43131.4,0,0,0,0.875447,0.483315,8.33333
89630.7,43132,0,0,0,0.876726,0.480989,8.33333
89630.3,43132.6,0,0,0,0.878423,0.477883,8.33333
89629.9,43133.2,0,0,0,0.880409,0.474216,8.33333
89629.5,43133.8,0,0,0,0.882556,0.470208,8.33333
89629.1,43134.4,0,0,0,0.884741,0.466083,8.33333
89628.7,43134.9,0,0,0,0.886846,0.462065,8.33333
89628.3,43135.5,0,0,0,0.888756,0.458381,8.33333
89627.9,43136.1,0,0,0,0.890359,0.45526,8.33333
89627.4,43136.6,0,0,0,0.891545,0.452932,8.33333
89627,43137.2,0,0,0,0.892227,0.451588,8.33333
89626.6,43137.8,0,0,0,0.892416,0.451213,8.33333
89626.2,43138.4,0,0,0,0.892158,0.451723,8.33333
89625.8,43138.9,0,0,0,0.891494,0.453032,8.33333
89625.4,43139.5,0,0,0,0.890467,0.455048,8.33333
89624.9,43140.1,0,0,0,0.88922,0.457481,8.33333
89624.5,43140.6,0,0,0,0.888058,0.459732,8.33333
89624.1,43141.2,0,0,0,0.887306,0.461181,8.33333
89623.7,43141.8,0,0,0,0.887292,0.461209,8.33333
89623.3,43142.4,0,0,0,0.88825,0.45936,8.33333
89622.9,43143,0,0,0,0.890021,0.45592,8.33333
89622.5,43143.5,0,0,0,0.892335,0.451375,8.33333
89622.1,43144.1,0,0,0,0.894925,0.446216,8.33333
89621.7,43144.7,0,0,0,0.897478,0.441059,8.33333
89621.2,43145.2,0,0,0,0.89956,0.436796,8.33333
89620.8,43145.7,0,0,0,0.900735,0.434368,8.33333
89620.3,43146.3,0,0,0,0.900569,0.434713,8.33333
89619.9,43146.8,0,0,0,0.898898,0.438157,8.33333
89619.5,43147.4,0,0,0,0.896278,0.443492,8.33333
89619,43148,0,0,0,0.893391,0.449279,8.33333
89618.6,43148.5,0,0,0,0.890952,0.454098,8.33333
89618.2,43149.1,0,0,0,0.889353,0.457222,8.33333
89617.8,43149.7,0,0,0,0.888239,0.459381,8.33333
89617.4,43150.3,0,0,0,0.887145,0.461491,8.33333
89617,43150.8,0,0,0,0.885593,0.464462,8.33333
89616.6,43151.4,0,0,0,0.883114,0.469158,8.33333
89616.2,43152,0,0,0,0.87942,0.476046,8.33333
89615.8,43152.6,0,0,0,0.874308,0.485372,8.33333
89615.4,43153.2,0,0,0,0.867544,0.497361,8.33333
89615.1,43153.8,0,0,0,0.858996,0.511982,8.33333
89614.7,43154.4,0,0,0,0.849165,0.528128,8.33333
89614.4,43155,0,0,0,0.838814,0.544418,8.33333
89614.1,43155.7,0,0,0,0.828807,0.559534,8.33333
89613.9,43156.3,0,0,0,0.819839,0.572594,8.33333
89613.7,43157,0,0,0,0.810822,0.585293,8.33333
89613.5,43157.7,0,0,0,0.799774,0.600301,8.33333
89613.3,43158.4,0,0,0,0.7845,0.620129,8.33333
89613.2,43159.1,0,0,0,0.76283,0.646599,8.33333
89613,43159.8,0,0,0,0.734669,0.678426,8.33333
89612.9,43160.5,0,0,0,0.700999,0.713162,8.33333
89612.9,43161.2,0,0,0,0.663099,0.748532,8.33333
89613,43161.9,0,0,0,0.622173,0.78288,8.33333
89613.2,43162.5,0,0,0,0.578396,0.815756,8.33333
89613.5,43163.2,0,0,0,0.531745,0.846904,8.33333
89613.9,43163.8,0,0,0,0.482216,0.876053,8.33333
89614.3,43164.4,0,0,0,0.429914,0.90287,8.33333
89614.7,43164.9,0,0,0,0.375511,0.926818,8.33333
89615.3,43165.4,0,0,0,0.319955,0.947433,8.33333
89615.8,43165.8,0,0,0,0.26427,0.964449,8.33333
89616.5,43166.2,0,0,0,0.209483,0.977812,8.33333
89617.1,43166.5,0,0,0,0.155872,0.987777,8.33333
89617.8,43166.6,0,0,0,0.103034,0.994678,8.33333
89618.5,43166.8,0,0,0,0.050506,0.998724,8.33333
89619.2,43166.8,0,0,0,-0.00220181,0.999998,8.33333
89619.9,43166.8,0,0,0,-0.0555771,0.998454,8.33333
89620.7,43166.6,0,0,0,-0.11004,0.993927,8.33333
89621.3,43166.4,0,0,0,-0.165953,0.986134,8.33333
89622,43166.1,0,0,0,-0.223632,0.974674,8.33333
89622.6,43165.7,0,0,0,-0.283321,0.959025,8.33333
89623.1,43165.3,0,0,0,-0.343743,0.939064,8.33333
89623.6,43164.7,0,0,0,-0.399814,0.916596,8.33333
89624,43164.2,0,0,0,-0.446297,0.894885,8.33333
89624.3,43163.6,0,0,0,-0.478608,0.878028,8.33333
89624.7,43162.9,0,0,0,-0.496278,0.868164,8.33333
89625,43162.3,0,0,0,-0.503541,0.863971,8.33333
89625.4,43161.7,0,0,0,-0.504637,0.863332,8.33333
89625.7,43161.1,0,0,0,-0.503674,0.863894,8.33333
89626.1,43160.5,0,0,0,-0.503987,0.863711,8.33333
89626.4,43159.9,0,0,0,-0.506067,0.862494,8.33333
89626.8,43159.3,0,0,0,-0.509729,0.860335,8.33333
89627.1,43158.6,0,0,0,-0.514788,0.857317,8.33333
89627.5,43158,0,0,0,-0.521044,0.85353,8.33333
89627.8,43157.4,0,0,0,-0.5282,0.84912,8.33333
89628.1,43156.8,0,0,0,-0.53592,0.844269,8.33333
89628.4,43156.1,0,0,0,-0.543871,0.839169,8.33333
89628.6,43155.5,0,0,0,-0.551719,0.83403,8.33333
89628.9,43154.8,0,0,0,-0.558931,0.829214,8.33333
89629.2,43154.2,0,0,0,-0.564783,0.825239,8.33333
89629.4,43153.5,0,0,0,-0.568558,0.822643,8.33333
89629.7,43152.8,0,0,0,-0.569539,0.821964,8.33333
89629.9,43152.2,0,0,0,-0.567361,0.823469,8.33333
89630.1,43151.5,0,0,0,-0.562349,0.8269,8.33333
89630.3,43150.8,0,0,0,-0.5549,0.831917,8.33333
89630.6,43150.2,0,0,0,-0.545405,0.838173,8.33333
89630.9,43149.6,0,0,0,-0.534454,0.845198,8.33333
89631.2,43148.9,0,0,0,-0.523387,0.852095,8.33333
89631.6,43148.3,0,0,0,-0.513758,0.857935,8.33333
89632,43147.7,0,0,0,-0.507158,0.861853,8.33333
89632.3,43147.1,0,0,0,-0.504468,0.86343,8.33333
89632.7,43146.5,0,0,0,-0.504701,0.863294,8.33333
89633,43145.9,0,0,0,-0.506561,0.862204,8.33333
89633.3,43145.3,0,0,0,-0.508754,0.860912,8.33333
89633.7,43144.6,0,0,0,-0.510245,0.860029,8.33333
89634,43144,0,0,0,-0.510322,0.859983,8.33333
89634.3,43143.4,0,0,0,-0.508294,0.861184,8.33333
89634.7,43142.8,0,0,0,-0.503468,0.864014,8.33333
89635,43142.1,0,0,0,-0.495359,0.868689,8.33333
89635.3,43141.5,0,0,0,-0.48366,0.875256,8.33333
89635.7,43140.9,0,0,0,-0.468047,0.883703,8.33333
89636.1,43140.3,0,0,0,-0.448167,0.89395,8.33333
89636.5,43139.8,0,0,0,-0.423781,0.905764,8.33333
89637,43139.3,0,0,0,-0.395322,0.918543,8.33333
89637.5,43138.8,0,0,0,-0.363442,0.931617,8.33333
89638.1,43138.3,0,0,0,-0.328849,0.944383,8.33333
89638.6,43137.9,0,0,0,-0.291984,0.956423,8.33333
89639.2,43137.5,0,0,0,-0.251815,0.967775,8.33333
89639.9,43137.2,0,0,0,-0.206829,0.978377,8.33333
89640.5,43136.9,0,0,0,-0.155508,0.987835,8.33333
89641.2,43136.7,0,0,0,-0.0980241,0.995184,8.33333
89641.9,43136.6,0,0,0,-0.0373639,0.999302,8.33333
89642.6,43136.6,0,0,0,0.0231179,0.999733,8.33333
89643.3,43136.7,0,0,0,0.0804834,0.996756,8.33333
89644,43136.8,0,0,0,0.135967,0.990713,8.33333
89644.7,43137,0,0,0,0.193031,0.981193,8.33333
89645.3,43137.4,0,0,0,0.255003,0.96694,8.33333
89645.9,43137.7,0,0,0,0.324147,0.946007,8.33333
89646.5,43138.2,0,0,0,0.39796,0.917403,8.33333
89646.9,43138.8,0,0,0,0.472344,0.881414,8.33333
89647.3,43139.4,0,0,0,0.543521,0.839395,8.33333
89647.5,43140,0,0,0,0.608541,0.793523,8.33333
89647.6,43140.7,0,0,0,0.665584,0.746323,8.33333
89647.6,43141.5,0,0,0,0.713452,0.700704,8.33333
89647.6,43142.2,0,0,0,0.751518,0.659713,8.33333
89647.4,43142.9,0,0,0,0.780919,0.624632,8.33333
89647.2,43143.5,0,0,0,0.803947,0.594702,8.33333
89647,43144.2,0,0,0,0.822561,0.568678,8.33333
89646.7,43144.9,0,0,0,0.838401,0.545054,8.33333
89646.4,43145.5,0,0,0,0.852284,0.523079,8.33333
89646,43146.1,0,0,0,0.864179,0.503185,8.33333
89645.7,43146.7,0,0,0,0.874019,0.485891,8.33333
89645.3,43147.3,0,0,0,0.881754,0.47171,8.33333
89644.9,43147.9,0,0,0,0.887433,0.460936,8.33333
89644.4,43148.4,0,0,0,0.891499,0.453022,8.33333
89644,43149,0,0,0,0.894437,0.447195,8.33333
89643.5,43149.5,0,0,0,0.896691,0.442656,8.33333
89643.1,43150.1,0,0,0,0.898652,0.438662,8.33333
89642.7,43150.6,0,0,0,0.900335,0.435198,8.33333
89642.3,43151.2,0,0,0,0.901525,0.432727,8.33333
89641.9,43151.8,0,0,0,0.902008,0.431719,8.33333
89641.4,43152.3,0,0,0,0.901573,0.432628,8.33333
89640.9,43152.8,0,0,0,0.900228,0.435419,8.33333
89640.5,43153.4,0,0,0,0.898271,0.439441,8.33333
89640,43153.9,0,0,0,0.896022,0.444009,8.33333
89639.6,43154.5,0,0,0,0.893812,0.448441,8.33333
89639.2,43155.1,0,0,0,0.892044,0.451948,8.33333
89638.8,43155.7,0,0,0,0.89123,0.453551,8.33333
89638.5,43156.3,0,0,0,0.891893,0.452247,8.33333
89638.1,43156.8,0,0,0,0.894455,0.447159,8.33333
89637.6,43157.4,0,0,0,0.898238,0.43951,8.33333
89637.1,43157.9,0,0,0,0.901764,0.432229,8.33333
89636.7,43158.4,0,0,0,0.903622,0.428331,8.33333
89636.2,43159,0,0,0,0.902704,0.430262,8.33333
89635.7,43159.5,0,0,0,0.899497,0.436927,8.33333
89635.3,43160.1,0,0,0,0.895075,0.445916,8.33333
89634.9,43160.6,0,0,0,0.890573,0.454841,8.33333
89634.5,43161.2,0,0,0,0.887174,0.461434,8.33333
89634.1,43161.8,0,0,0,0.885332,0.46496,8.33333
89633.7,43162.4,0,0,0,0.884738,0.466088,8.33333
89633.4,43163,0,0,0,0.885031,0.465532,8.33333
89633,43163.6,0,0,0,0.885837,0.463997,8.33333
89632.6,43164.2,0,0,0,0.886778,0.462195,8.33333
89632.1,43164.7,0,0,0,0.887469,0.460867,8.33333
89631.7,43165.3,0,0,0,0.887517,0.460775,8.33333
89631.3,43165.8,0,0,0,0.886529,0.462674,8.33333
89630.9,43166.4,0,0,0,0.88439,0.466748,8.33333
89630.5,43167,0,0,0,0.881994,0.47126,8.33333
89630.1,43167.6,0,0,0,0.880479,0.474086,8.33333
89629.8,43168.2,0,0,0,0.88099,0.473135,8.33333
89629.4,43168.8,0,0,0,0.884032,0.467427,8.33333
89629,43169.4,0,0,0,0.889156,0.457604,8.33333
89628.6,43170,0,0,0,0.895817,0.444423,8.33333
89628.2,43170.5,0,0,0,0.903472,0.428647,8.33333
89627.7,43171.1,0,0,0,0.911556,0.411175,8.33333
89627.3,43171.6,0,0,0,0.919398,0.393329,8.33333
89626.8,43172.1,0,0,0,0.926396,0.376552,8.33333
89626.2,43172.6,0,0,0,0.93205,0.362331,8.33333
89625.7,43173,0,0,0,0.935944,0.352148,8.33333
89625.1,43173.5,0,0,0,0.937881,0.346957,8.33333
89624.6,43173.9,0,0,0,0.937781,0.347227,8.33333
89624,43174.3,0,0,0,0.935481,0.353378,8.33333
89623.5,43174.8,0,0,0,0.9307,0.365783,8.33333
89622.9,43175.2,0,0,0,0.923119,0.384515,8.33333
